列01,列02,列03,列04,列05,列06,列07,列08,列09,列10,列11,列12,列13,列14,列15,列16,列17,列18,列19
2aac441f,AB3D41,35.418,-86.1734,144,36750,484,3537,F-KTYS1,A333,N823NW,1643679053,SEA,ATL,DL364,0,-960,DAL364,0
2aac442f,0D08EF,34.9689,-110.3675,304,38000,392,3233,F-KDVT1,B738,XA-AMV,1643679054,MEX,SEA,AM494,0,-128,AMX494,0
2aac445c,A7E93D,27.9947,-80.5748,104,700,82,1200,F-KVRB1,P28A,N609FT,1643679053,FPR,,,0,64,N609FT,0
2aac447f,06A107,23.6999,55.8199,296,40000,440,4001,F-OMFJ1,A359,A7-ALS,1643679055,MAA,DOH,QR529,0,0,QTR529,0
2aac4493,800D0A,12.9486,80.5436,307,5500,260,2204,F-VOMM2,A20N,VT-IZC,1643679055,SIN,MAA,6E52,0,-1408,IGO052,0
2aac449e,ABAC50,15.6787,-19.9517,299,32475,447,6645,F-GVNP1,A332,N851NW,1643679052,LOS,ATL,DL55,0,448,DAL55,0
2aac44bf,A89EB9,33.8703,-111.8918,200,8200,112,0350,F-KDVT2,C172,N65453,1643679055,,,,0,-256,N65453,0
2aac44c4,,-30.4729,148.0444,188,5300,128,1157,F-YCNM1,C182,,1643679053,,,,0,64,C182,0
2aac44d5,C07FB9,41.9251,-79.4056,8,29675,349,6774,F-KSYR1,B737,C-GWJO,1643679054,KIN,YYZ,WS2601,0,-1536,WJA2601,0
2aac44dc,A0BF8C,38.9027,-77.4368,1,350,131,1462,F-KIAD3,B737,N14731,1643679053,STT,IAD,UA1445,0,-704,UAL1445,0
2aac44e0,781521,41.4208,116.8365,2,31125,420,4271,T-F6M,A20N,B-302W,1643679052,SYX,HRB,MU6314,0,64,CES6314,0
2aac44ed,8963D8,10.1875,68.8196,141,33000,510,0000,F-SAT5,B77W,A6-EPI,1643679056,DXB,MLE,EK656,0,0,UAE656,0
2aac4500,06A30D,12.6813,79.7592,123,35000,488,2636,F-VOTR1,B77L,A7-BFZ,1643679054,DOH,SIN,QR8064,0,0,QTR8064,0
2aac453c,A51358,25.8034,-80.292,87,0,105,3434,F-KHWO1,E55P,N426QS,1643679022,BED,MIA,1I426,0,-640,EJA426,0
2aac454b,424626,50.8969,19.2468,54,39000,439,1452,F-LKVO2,A333,VP-BUH,1643679054,MAD,SVO,N49457,0,0,NWS9457,0
2aac454d,800DBA,17.2334,78.4296,284,0,7,2631,F-VOHS2,A20N,VT-IJG,1643679013,DOH,HYD,6E1714,1,0,IGO1714,0
2aac4552,A68D6F,38.12,-95.4366,258,36025,405,3423,F-KEMP1,A320,N521JB,1643679055,BOS,PHX,B61303,0,-64,JBU1303,0
2aac4557,A8E279,36.2856,-107.5751,332,38000,387,4341,F-KRTN1,B752,N6715C,1643679055,MEX,SLC,DL642,0,0,DAL642,0
2aac4565,8A02CD,-7.4379,112.4849,112,41000,416,7145,F-WAHS3,A332,PK-GPO,1643679055,CGK,DPS,GA402,0,0,GIA402,0
2aac4575,76CEF2,-16.8406,128.8309,299,38000,521,1423,F-YPKU1,B77W,9V-SWR,1643679053,SYD,SIN,SQ212,0,0,SIA212,0
2aac4581,A4F488,32.8124,-117.1376,208,0,8,2673,F-KNKX1,C172,N4182T,1643679042,,,,1,0,N4182T,0
2aac4597,424343,57.5933,81.0272,101,35000,459,2145,F-UNNT2,B738,VP-BMM,1643679053,SVO,IKT,SU1562,0,0,AFL1562,0
2aac45cb,A123E0,35.6814,-96.0805,266,38000,438,1715,F-KCLK1,B38M,N17262,1643679052,EWR,PHX,UA2031,0,0,UAL2031,0
